date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:20:34	22381/22381	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2006:20:35%20GMT	https://wistoncorp.com/?a=rules	C:/Users/reyco/Downloads/prueba/wistoncorp.com/indexa972.html	(from https://wistoncorp.com/)
01:20:35	16841/16841	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2006:20:35%20GMT	https://wistoncorp.com/?a=news	C:/Users/reyco/Downloads/prueba/wistoncorp.com/index56ca.html	(from https://wistoncorp.com/)
01:20:35	97184/97184	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/js/jquery-1.12.4.min.js	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/js/jquery-1.12.4.min.js	(from https://wistoncorp.com/)
01:20:36	19187/19187	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/js/popper.min.js	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/js/popper.min.js	(from https://wistoncorp.com/)
01:20:36	48944/48944	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/js/bootstrap.min.js	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/js/bootstrap.min.js	(from https://wistoncorp.com/)
01:20:36	42770/42770	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/js/owl.carousel.min.js	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/js/owl.carousel.min.js	(from https://wistoncorp.com/)
01:20:37	8044/8044	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/js/waypoint.js	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/js/waypoint.js	(from https://wistoncorp.com/)
01:20:37	2039/2039	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/js/counterup.js	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/js/counterup.js	(from https://wistoncorp.com/)
01:20:37	35313/35313	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/js/isotope.min.js	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/js/isotope.min.js	(from https://wistoncorp.com/)
01:20:38	4706/4706	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/js/jquery.appear.js	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/js/jquery.appear.js	(from https://wistoncorp.com/)
01:20:38	20258/20258	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202024%2012:16:12%20GMT	https://wistoncorp.com/assets/js/jquery.magnific-popup.min.js	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/js/jquery.magnific-popup.min.js	(from https://wistoncorp.com/)
